Ref,Val,Package,PosX,PosY,Rot,Side
"R10","47k","R_0402_1005Metric",8.000000,32.800000,90.000000,top
"R11","47k","R_0402_1005Metric",6.500000,32.800000,90.000000,top
"R12","10k","R_0402_1005Metric",22.200000,13.800000,90.000000,top
"R13","10k","R_0402_1005Metric",22.200000,15.800000,90.000000,top
"R25","47k","R_0402_1005Metric",5.000000,32.800000,90.000000,top
"R26","47k","R_0402_1005Metric",47.000000,32.800000,90.000000,top
"R27","47k","R_0402_1005Metric",48.500000,32.800000,90.000000,top
"R28","47k","R_0402_1005Metric",50.000000,32.800000,90.000000,top
"R29","47k","R_0402_1005Metric",9.500000,32.800000,90.000000,top
"R30","47k","R_0402_1005Metric",11.000000,32.800000,90.000000,top
"R31","47k","R_0402_1005Metric",12.500000,32.800000,90.000000,top
"R32","47k","R_0402_1005Metric",45.500000,32.800000,90.000000,top
"R33","47k","R_0402_1005Metric",44.000000,32.800000,90.000000,top
"R34","47k","R_0402_1005Metric",42.500000,32.800000,90.000000,top
"R35","47k","R_0402_1005Metric",21.900000,32.800000,90.000000,top
"R36","100","R_0402_1005Metric",14.000000,32.800000,-90.000000,top
"U1","PE426462","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",20.000000,62.750000,90.000000,top
"U2","PE426462","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",20.000000,47.750000,90.000000,top
"U3","PE426462","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",35.000000,62.250000,-90.000000,top
"U4","PE426462","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",35.000000,47.250000,-90.000000,top
"U5","W25Q16JVSNIQ","SOIC-8_3.9x4.9mm_P1.27mm",37.500000,10.400000,180.000000,top
"U6","IP4234CZ6","SOT-23-6",27.600000,11.000000,180.000000,top
"U7","RP2040","RP2040",28.800000,18.900000,180.000000,top
"U8","W25Q128JVSIQ","SOIC-8_5.23x5.23mm_P1.27mm",41.800000,20.000000,90.000000,top
"U9","MIC5528-3.3YMT-TR","DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm",18.200000,4.200000,90.000000,top
"Y1","ECS-120-8-36-CKM-TR3","Crystal_SMD_2520-4Pin_2.5x2.0mm",30.500000,26.200000,90.000000,top
